t,mean_percent_occupancy,mean_waiting_time,vehicle_speed,emissions
1257.6,0.015060571880584772,1.1079545454545454,2.488606928567943,56869.22404052711
1257.7,0.015060571880584772,1.1238636363636365,2.4469001081028456,59046.268215163574
1257.8,0.015060571880584772,1.1397727272727272,2.407190976748171,62041.05271449361
1257.9,0.015060571880584772,1.155681818181818,2.3661018526718496,60230.204299901045
1258.0,0.015060571880584772,1.1715909090909091,2.327223170259617,61330.483268725366
1258.1,0.015060571880584772,1.1875,2.285448670246023,60609.57263658376
1258.2,0.015060571880584772,1.2034090909090909,2.242393750757576,61740.26285362177
1258.3,0.015060571880584772,1.2193181818181817,2.199445267121321,59541.05095568847
1258.4,0.015060571880584772,1.2352272727272726,2.1592612262697157,60459.359039028066
1258.5,0.015060571880584772,1.2522727272727272,2.1158173123999897,64152.63445547644
1258.6,0.015060571880584772,1.2693181818181818,2.1000286411587834,68790.99487087561
1258.7,0.015060571880584772,1.2863636363636364,2.0810622884426375,66188.04566722512
1258.8,0.015060571880584772,1.3034090909090907,2.048842740757192,58522.56887732381
1258.9,0.015060571880584772,1.3204545454545453,1.999310412245523,57581.68693117582
1259.0,0.015060571880584772,1.3375,1.9534794883566193,58830.75101442976
1259.1,0.015060571880584772,1.3545454545454545,1.9114402470115797,61137.451319708576
1259.2,0.015060571880584772,1.371590909090909,1.8708651643298881,62558.260288711404
1259.3,0.015060571880584772,1.3897727272727272,1.84847711251174,65425.4935622417
1259.4,0.015060571880584772,1.4079545454545455,1.8065222788221618,55890.63999425954
1259.5,0.015060571880584772,1.4261363636363635,1.7644390835674277,57488.30228808377
1259.6,0.015060571880584772,1.4454545454545453,1.7318875487224366,60591.07879082182
1259.7,0.015060571880584772,1.4647727272727273,1.7135981380818548,60222.10839778062
1259.8,0.015060571880584772,1.4840909090909091,1.696900439755011,60271.40915393401
1259.9,0.015060571880584772,1.5034090909090907,1.6807071847875703,58125.73489590983
1260.0,0.015060571880584772,1.5227272727272727,1.6680410782396597,60377.621402401244
1260.1,0.015672836770866904,1.5420454545454545,1.5751193664671341,61461.17523694431
1260.2,0.015672836770866904,0.671590909090909,1.6443842292784205,64188.08958617624
1260.3,0.015672836770866904,0.6829545454545454,1.7251270905692184,67481.81242034383
1260.4,0.015672836770866904,0.6943181818181818,1.8026282640397404,65080.598243697146
1260.5,0.015672836770866904,0.29886363636363633,1.8805690022560644,65125.90108028687
1260.6,0.015672836770866904,0.3045454545454545,1.9615199553450122,66213.98995167774
1260.7,0.015672836770866904,0.31136363636363634,2.0483089325739647,69128.89458875437
1260.8,0.015672836770866904,0.3181818181818182,2.1265683974247436,61303.69136246476
1260.9,0.015672836770866904,0.08295454545454546,2.1977386664219107,63846.98168457403
1261.0,0.016288614764451394,0.08636363636363636,2.281795026239685,65674.82295205006
1261.1,0.018483500616920102,0.08977272727272728,2.360544921901187,63880.81617503175
1261.2,0.020896735021885913,0.09318181818181817,2.4452257383225873,65757.34396180716
1261.3,0.02350185204169617,0.09659090909090909,2.5358259706340465,67328.88260925442
1261.4,0.02632439903516001,0.055681818181818186,2.6198112765731034,68021.55728323384
1261.5,0.029335930800400565,0.05795454545454545,2.709556331672403,69002.83742823015
1261.6,0.03254605898827218,0.06022727272727273,2.806686130597214,73332.71437459919
1261.7,0.035962256068143676,0.0625,2.911301625717146,71166.22945924393
1261.8,0.03948340694725726,0.06477272727272726,3.0009165142138223,70589.95669180222
1261.9,0.04285185670080104,0.06704545454545455,3.0591492301088814,70282.98686168561
1262.0,0.04606701392418862,0.06931818181818182,3.093140809800879,65430.363238373364
1262.1,0.04912177749238353,0.0715909090909091,3.129994419911437,68021.47182543579
1262.2,0.05202805732236468,0.07386363636363637,3.1833397799018677,71268.22054219409
1262.3,0.0548033232611689,0.07613636363636363,3.224347259801206,66733.46629432173
1262.4,0.05725624232021282,0.07840909090909091,3.264899230274281,69224.092839591
1262.5,0.057906383801936086,0.08068181818181817,3.3166221161648255,72726.80515918201
1262.6,0.05802714087503244,0.08295454545454546,3.3653636760159293,78563.10895427328
1262.7,0.05802878913240727,0.0875,3.4225195802827586,73383.23041465899
1262.8,0.05802881857653845,0.09204545454545456,3.510102211467116,80107.97193679417
1262.9,0.05802881857653845,0.09659090909090909,3.5987089910319803,82550.61989686711
1263.0,0.05802881857653845,0.10113636363636364,3.7034679123170675,83232.9749698316
1263.1,0.05800113769319213,0.1056818181818182,3.7967806491410876,81539.03399091115
1263.2,0.05681679935787817,0.11022727272727272,3.8937505026753727,90268.70383269229
1263.3,0.05533260562362892,0.11477272727272729,3.999839418779752,92244.32030357605
1263.4,0.053805537605776506,0.11931818181818182,4.1037528536079355,92938.97136439914
1263.5,0.05223159543315648,0.12386363636363637,4.195523844275315,81806.70798863785
1263.6,0.04950144907956586,0.12840909090909092,4.175400633863761,79018.5396598789
1263.7,0.04821400602550874,0.13295454545454546,4.247832697213794,73173.7436825392
1263.8,0.04688891703384543,0.1375,4.340488081170336,79917.5159213372
1263.9,0.04642908190975354,0.14204545454545456,4.419182594190705,76847.35783613409
