VehicleID,TotalCO2Emissions,TotalMaxWaitingTime
154,266769.74148351426,0.0
157,248921.74449437895,0.0
159,1437901.945762356,47.0
158,1299877.830131855,65.0
160,904369.2371181559,29.0
161,289566.14748960873,0.0
162,981417.9251722493,26.0
163,1324378.5272953245,45.0
164,231593.9086333671,0.0
165,1037028.9165580567,27.0
167,857519.4759925352,11.0
168,1211060.9635805956,43.0
166,610455.1947622882,19.0
169,730715.8234563167,30.0
172,1152459.481937548,11.0
171,936314.4047848268,30.0
173,512153.9327759759,0.0
175,895431.169718435,34.0
174,814060.7559332453,37.0
176,1085385.0712583666,42.0
177,829677.1807096783,26.0
178,536378.639592402,0.0
181,823325.09910866,15.0
180,874035.7218290328,33.0
182,658518.0353639164,9.0
183,727710.091399324,0.0
184,562341.7455719816,14.0
185,1195232.8184276521,43.0
186,692307.4437877298,10.0
187,657336.4205896646,13.0
188,802118.212307299,8.0
190,683521.1247247499,9.0
191,974278.3391436627,31.0
192,615426.082098892,26.0
193,1495535.9267976854,68.0
194,429935.80702301254,1.0
195,1149506.3834139546,38.0
197,386999.7126844974,0.0
196,1042252.9110152673,15.0
199,718856.5694330282,29.0
200,1699803.5894264919,59.0
201,2204441.082886365,93.0
202,1391383.5182028187,45.0
198,1332769.2232580823,64.0
203,1163660.0267385072,22.0
204,994729.0402055638,25.0
205,453628.9928803434,0.0
207,561740.6471772846,5.0
206,654211.4380556666,11.0
208,1217071.182083298,48.0
209,2153441.7589931814,110.0
210,1102102.81683614,51.0
211,1750885.3153625985,74.0
212,1264740.1928597637,31.0
213,1231387.4016155538,29.0
214,787949.6489517436,14.0
216,631674.9876153412,10.0
217,618114.6614458292,1.0
219,396332.04144436645,0.0
220,1036330.655682525,36.0
221,1557234.2989839553,71.0
222,1269121.9327894042,55.0
223,814804.7231432723,39.0
224,1810581.4846629829,94.0
225,1616710.2842070956,75.0
226,869490.9178108771,18.0
227,1342575.9824313596,53.0
228,427244.07025265176,0.0
229,1662727.3782828394,65.0
230,486541.196628321,0.0
231,854746.371320719,38.0
232,513300.20928422466,0.0
233,1903371.433400809,69.0
235,1216916.9324237967,41.0
236,1173420.3757364643,35.0
238,1050004.7923708295,37.0
239,852700.0947654934,31.0
240,745021.5814832951,32.0
